"logID","fightID","duration_s","f_kill","f_logNote3","logStatus","averageItemLevel","f_special","Cast_Seq","timestamp_s","hitPoints","x","y","special"
"397dHjBhAzRXF6fw",6,191,"Wipe","Execution","Log w/ wipe(s)",246.960006713867,"SoD",1,44.958,27157689,-16413,58234,NA
"397dHjBhAzRXF6fw",6,191,"Wipe","Execution","Log w/ wipe(s)",246.960006713867,"LV",2,95.947,14286705,-16285,58084,NA
"397dHjBhAzRXF6fw",6,191,"Wipe","Execution","Log w/ wipe(s)",246.960006713867,"DV",3,140.967,7135927,-16413,58234,NA
"397dHjBhAzRXF6fw",6,191,"Wipe","Execution","Log w/ wipe(s)",246.960006713867,"SoL",4,179.936,4297607,-16899,57813,NA
"397dHjBhAzRXF6fw",7,149,"Kill","Execution","Log w/ wipe(s)",246.919998168945,"SoL",1,89.342,16362935,-15999,58477,NA
"397dHjBhAzRXF6fw",7,149,"Kill","Execution","Log w/ wipe(s)",246.919998168945,"LV",2,140.347,3601117,-15999,58477,NA
"FmnDyKCbvLZh132w",7,156,"Kill","Execution","One-shot",245,"SoL",1,134.923,4162337,-16249,58429,NA
"2gNTHLZGxchX9Fp7",14,79,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"SoL",1,44.989,21729525,-17095,54894,NA
"2gNTHLZGxchX9Fp7",15,61,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"LV",1,51.027,21972043,-16540,54385,NA
"2gNTHLZGxchX9Fp7",16,106,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"LV",1,51.016,19910962,-13624,55499,NA
"2gNTHLZGxchX9Fp7",16,106,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"DV",2,96.073,8285025,-13378,55190,NA
"2gNTHLZGxchX9Fp7",17,54,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"SoD",1,44.984,22647271,-10583,56337,NA
"2gNTHLZGxchX9Fp7",18,74,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"SoL",1,45.042,21010940,-16956,54650,NA
"2gNTHLZGxchX9Fp7",19,64,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"LV",1,51.016,19652195,-17096,54779,NA
"2gNTHLZGxchX9Fp7",20,122,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"LV",1,50.985,18785893,-17110,54671,NA
"2gNTHLZGxchX9Fp7",20,122,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"SoL",2,89.985,6764624,-17292,54286,NA
"2gNTHLZGxchX9Fp7",21,77,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.320007324219,"SoL",1,45.015,20061886,-16906,54490,NA
"2gNTHLZGxchX9Fp7",22,77,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"SoL",1,45.033,20957238,-16988,54682,NA
"2gNTHLZGxchX9Fp7",23,74,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"SoL",1,45.044,21422141,-17009,54427,NA
"2gNTHLZGxchX9Fp7",24,77,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"DV",1,51.07,18874713,-16997,54282,NA
"2gNTHLZGxchX9Fp7",25,132,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"SoD",1,45.023,21064957,-17060,54047,NA
"2gNTHLZGxchX9Fp7",25,132,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.520004272461,"LV",2,95.974,8286635,-16966,54466,NA
"2gNTHLZGxchX9Fp7",26,110,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.559997558594,"DV",1,51.012,19110438,-16976,54074,NA
"2gNTHLZGxchX9Fp7",26,110,"Wipe","Exec. & Speed","Log w/ wipe(s)",250.559997558594,"LV",2,96.006,8244145,-17213,54652,NA
"2gNTHLZGxchX9Fp7",27,110,"Kill","Exec. & Speed","Log w/ wipe(s)",250.559997558594,"SoD",1,45.032,20691859,-17060,54047,NA
"VjBLMqGAF1cJQxK2",43,77,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"DV",1,51.031,15891807,-16499,54861,NA
"VjBLMqGAF1cJQxK2",45,51,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"DV",1,51.039,23480898,-11615,55776,NA
"VjBLMqGAF1cJQxK2",46,58,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"SoL",1,45.011,20569805,-12802,54590,NA
"VjBLMqGAF1cJQxK2",47,76,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"SoL",1,45.014,17281581,-16492,54860,NA
"VjBLMqGAF1cJQxK2",49,97,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"SoL",1,45.041,17861562,-15744,54963,NA
"VjBLMqGAF1cJQxK2",51,67,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"LV",1,51.015,17182985,-13769,55174,NA
"VjBLMqGAF1cJQxK2",52,51,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"SoL",1,45.024,24176981,-10808,57566,NA
"VjBLMqGAF1cJQxK2",53,82,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.639999389648,"LV",1,51.062,16016270,-16074,55079,NA
"VjBLMqGAF1cJQxK2",54,74,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"DV",1,51.035,15841515,-15384,54692,NA
"VjBLMqGAF1cJQxK2",55,73,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"SoL",1,45.016,17917164,-16158,54757,NA
"VjBLMqGAF1cJQxK2",56,51,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"SoL",1,45.01,24553255,-10580,55194,NA
"VjBLMqGAF1cJQxK2",57,79,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.639999389648,"SoL",1,45.021,17423648,-16021,54804,NA
"VjBLMqGAF1cJQxK2",59,93,"Kill","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"LV",1,51.845,15639484,-16227,54812,NA
"VjBLMqGAF1cJQxK2",59,93,"Kill","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"SoL",2,90.87,1029219,-16227,54812,NA
"F9qxWLbT3GDAR8QY",44,80,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"DV",1,50.988,15891807,-16499,54861,NA
"F9qxWLbT3GDAR8QY",48,79,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"SoL",1,44.994,17281581,-16492,54860,NA
"F9qxWLbT3GDAR8QY",50,109,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"SoL",1,44.997,17861562,-15744,54963,NA
"F9qxWLbT3GDAR8QY",50,109,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"LV",2,96.055,2994952,-14672,55978,NA
"F9qxWLbT3GDAR8QY",56,76,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.279998779297,"SoL",1,45.005,17917164,-16158,54757,NA
"F9qxWLbT3GDAR8QY",81,189,"Kill","Exec. & Speed","Log w/ wipe(s)",243.279998779297,"SoD",1,44.958,27276077,-15776,58596,NA
"F9qxWLbT3GDAR8QY",81,189,"Kill","Exec. & Speed","Log w/ wipe(s)",243.279998779297,"DV",2,96.018,19438699,-13360,59353,NA
"F9qxWLbT3GDAR8QY",81,189,"Kill","Exec. & Speed","Log w/ wipe(s)",243.279998779297,"SoL",3,134.966,11525332,-14886,59129,NA
"F9qxWLbT3GDAR8QY",81,189,"Kill","Exec. & Speed","Log w/ wipe(s)",243.279998779297,"LV",4,186.031,648207,-14886,59129,NA
"F9qxWLbT3GDAR8QY",90,193,"Kill","Exec. & Speed","Log w/ wipe(s)",246.399993896484,"SoD",1,44.993,24930841,-15808,58226,NA
"F9qxWLbT3GDAR8QY",90,193,"Kill","Exec. & Speed","Log w/ wipe(s)",246.399993896484,"DV",2,96.138,15854002,-12494,58188,NA
"F9qxWLbT3GDAR8QY",90,193,"Kill","Exec. & Speed","Log w/ wipe(s)",246.399993896484,"SoL",3,134.973,8283206,-15322,58170,NA
"F9qxWLbT3GDAR8QY",90,193,"Kill","Exec. & Speed","Log w/ wipe(s)",246.399993896484,"LV",4,186.022,589262,-15453,58300,NA
"F9qxWLbT3GDAR8QY",98,164,"Kill","Exec. & Speed","Log w/ wipe(s)",243.880004882812,"SoL",1,45.018,25482669,-15355,58100,NA
"F9qxWLbT3GDAR8QY",98,164,"Kill","Exec. & Speed","Log w/ wipe(s)",243.880004882812,"LV",2,96.078,15268808,-15355,58100,NA
"F9qxWLbT3GDAR8QY",98,164,"Kill","Exec. & Speed","Log w/ wipe(s)",243.880004882812,"SoD",3,134.988,6984468,-13058,58785,NA
"F9qxWLbT3GDAR8QY",106,202,"Wipe","Exec. & Speed","Log w/ wipe(s)",243.759994506836,"SoD",1,44.991,26010134,-16347,57926,NA
"F9qxWLbT3GDAR8QY",106,202,"Wipe","Exec. & Speed","Log w/ wipe(s)",243.759994506836,"DV",2,96.087,18491356,-12204,58694,NA
"F9qxWLbT3GDAR8QY",106,202,"Wipe","Exec. & Speed","Log w/ wipe(s)",243.759994506836,"SoL",3,134.968,12913212,-15216,59105,NA
"F9qxWLbT3GDAR8QY",106,202,"Wipe","Exec. & Speed","Log w/ wipe(s)",243.759994506836,"LV",4,185.998,10328941,-15216,59105,NA
"F9qxWLbT3GDAR8QY",107,161,"Kill","Exec. & Speed","Log w/ wipe(s)",244.279998779297,"SoD",1,45.016,25745264,-16383,57979,NA
"F9qxWLbT3GDAR8QY",107,161,"Kill","Exec. & Speed","Log w/ wipe(s)",244.279998779297,"LV",2,96.143,16430642,-12137,58354,NA
"F9qxWLbT3GDAR8QY",107,161,"Kill","Exec. & Speed","Log w/ wipe(s)",244.279998779297,"DV",3,141.02,7283638,-12304,58550,NA
"F9qxWLbT3GDAR8QY",114,180,"Kill","Exec. & Speed","Log w/ wipe(s)",242.080001831055,"LV",1,51.017,24341752,-15866,58110,NA
"F9qxWLbT3GDAR8QY",114,180,"Kill","Exec. & Speed","Log w/ wipe(s)",242.080001831055,"DV",2,96.064,15209124,-12307,58536,NA
"F9qxWLbT3GDAR8QY",114,180,"Kill","Exec. & Speed","Log w/ wipe(s)",242.080001831055,"SoD",3,135.008,7408351,-14863,58760,NA
"F9qxWLbT3GDAR8QY",114,180,"Kill","Exec. & Speed","Log w/ wipe(s)",242.080001831055,"SoL",4,180.001,46036,-14988,58600,NA
"JQ4VN3zd2Bj6qLCP",15,56,"Wipe","Execution","Log w/ wipe(s)",254.039993286133,"SoD",1,44.976,21640731,-15949,57889,NA
"JQ4VN3zd2Bj6qLCP",16,103,"Wipe","Execution","Log w/ wipe(s)",254.039993286133,"DV",1,51.014,16831081,-16853,57775,NA
"JQ4VN3zd2Bj6qLCP",16,103,"Wipe","Execution","Log w/ wipe(s)",254.039993286133,"SoD",2,89.996,5792862,-16777,57921,NA
"JQ4VN3zd2Bj6qLCP",17,114,"Wipe","Execution","Log w/ wipe(s)",254.039993286133,"SoL",1,44.99,19105806,-16785,58448,NA
"JQ4VN3zd2Bj6qLCP",17,114,"Wipe","Execution","Log w/ wipe(s)",254.039993286133,"SoD",2,90.015,7439563,-16480,57960,NA
"JQ4VN3zd2Bj6qLCP",18,93,"Wipe","Execution","Log w/ wipe(s)",253.839996337891,"DV",1,51.015,16112353,-16678,58104,NA
"JQ4VN3zd2Bj6qLCP",18,93,"Wipe","Execution","Log w/ wipe(s)",253.839996337891,"SoD",2,89.978,4716859,-16678,58104,NA
"JQ4VN3zd2Bj6qLCP",19,103,"Kill","Execution","Log w/ wipe(s)",253.600006103516,"DV",1,51.035,17780002,-16842,57897,NA
"JQ4VN3zd2Bj6qLCP",19,103,"Kill","Execution","Log w/ wipe(s)",253.600006103516,"SoL",2,90.028,3691674,-16161,58239,NA
"RCPd49y3JkfZ2KGp",11,96,"Kill","Exec. & Speed","One-shot",253,"DV",1,50.921,17319823,-15899,57098,NA
"RCPd49y3JkfZ2KGp",11,96,"Kill","Exec. & Speed","One-shot",253,"LV",2,95.934,346263,-15663,57866,NA
"qPn1BzFg6py7J4mV",17,58,"Wipe","Exec. & Speed","Log w/ wipe(s)",249.039993286133,"DV",1,50.983,17490283,-16592,54524,NA
"qPn1BzFg6py7J4mV",18,72,"Wipe","Exec. & Speed","Log w/ wipe(s)",249.039993286133,"SoL",1,45.001,18786365,-16571,55124,NA
"qPn1BzFg6py7J4mV",19,69,"Wipe","Exec. & Speed","Log w/ wipe(s)",249.039993286133,"DV",1,51.034,17078439,-16468,54952,NA
"qPn1BzFg6py7J4mV",20,63,"Wipe","Exec. & Speed","Log w/ wipe(s)",249.039993286133,"DV",1,51.023,16802028,-16718,54400,NA
"qPn1BzFg6py7J4mV",23,61,"Wipe","Exec. & Speed","Log w/ wipe(s)",249.039993286133,"DV",1,51.011,17337126,-16820,54870,NA
"qPn1BzFg6py7J4mV",24,98,"Wipe","Exec. & Speed","Log w/ wipe(s)",249.039993286133,"LV",1,51.051,16888260,-16442,54771,NA
"qPn1BzFg6py7J4mV",24,98,"Wipe","Exec. & Speed","Log w/ wipe(s)",249.039993286133,"SoD",2,90.017,7051724,-15397,53977,NA
"qPn1BzFg6py7J4mV",25,103,"Wipe","Exec. & Speed","Log w/ wipe(s)",249.039993286133,"LV",1,51.002,18043113,-16604,54507,NA
"qPn1BzFg6py7J4mV",25,103,"Wipe","Exec. & Speed","Log w/ wipe(s)",249.039993286133,"DV",2,95.983,1697625,-16508,55046,NA
"qPn1BzFg6py7J4mV",26,96,"Kill","Exec. & Speed","Log w/ wipe(s)",249.039993286133,"LV",1,51.023,16622626,-16843,54970,NA
"qPn1BzFg6py7J4mV",26,96,"Kill","Exec. & Speed","Log w/ wipe(s)",249.039993286133,"DV",2,96.05,4904,-16998,54474,NA
"PAmrGj26FqCfZnpV",21,51,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.759994506836,"LV",1,50.967,26094631,-13106,57750,NA
"PAmrGj26FqCfZnpV",22,59,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.679992675781,"LV",1,50.989,16848185,-16989,58347,NA
"PAmrGj26FqCfZnpV",23,71,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.679992675781,"DV",1,51.034,16585462,-17184,58366,NA
"PAmrGj26FqCfZnpV",24,61,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.679992675781,"LV",1,51.028,15887018,-16805,58489,NA
"PAmrGj26FqCfZnpV",25,82,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.759994506836,"SoD",1,45.043,17985622,-16789,58165,NA
"PAmrGj26FqCfZnpV",26,102,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.759994506836,"SoL",1,45.07,18396887,-16832,58615,NA
"PAmrGj26FqCfZnpV",26,102,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.759994506836,"SoD",2,90.044,5053531,-16311,58105,NA
"PAmrGj26FqCfZnpV",27,74,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.759994506836,"SoD",1,44.998,18127506,-17125,58351,NA
"PAmrGj26FqCfZnpV",28,71,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.759994506836,"LV",1,50.989,16333085,-16792,58490,NA
"PAmrGj26FqCfZnpV",29,77,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.759994506836,"SoL",1,45.012,18516196,-16785,58448,NA
"PAmrGj26FqCfZnpV",30,79,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.759994506836,"SoD",1,44.978,17763186,-17009,58190,NA
"PAmrGj26FqCfZnpV",31,93,"Kill","Exec. & Speed","Log w/ wipe(s)",251.759994506836,"DV",1,51.04,15935334,-17030,58591,NA
"PAmrGj26FqCfZnpV",31,93,"Kill","Exec. & Speed","Log w/ wipe(s)",251.759994506836,"SoD",2,90.056,1413470,-17030,58591,NA
"YM23qRcZNthgzHkJ",34,98,"Kill","Execution","Log w/ wipe(s)",252.440002441406,"LV",1,51.017,16385686,-17277,54851,NA
"YM23qRcZNthgzHkJ",34,98,"Kill","Execution","Log w/ wipe(s)",252.440002441406,"SoD",2,90.077,1692850,-17330,54730,NA
"YM23qRcZNthgzHkJ",50,66,"Wipe","Execution","Log w/ wipe(s)",252.600006103516,"DV",1,51.022,18091905,-14743,56573,NA
"YM23qRcZNthgzHkJ",51,58,"Wipe","Execution","Log w/ wipe(s)",252.559997558594,"DV",1,51.047,18082778,-15043,55879,NA
"YM23qRcZNthgzHkJ",52,74,"Wipe","Execution","Log w/ wipe(s)",252.600006103516,"SoL",1,44.995,19346213,-15093,56654,NA
"YM23qRcZNthgzHkJ",54,110,"Wipe","Execution","Log w/ wipe(s)",252.600006103516,"LV",1,51.002,17194070,-16874,54242,NA
"YM23qRcZNthgzHkJ",54,110,"Wipe","Execution","Log w/ wipe(s)",252.600006103516,"SoL",2,90.026,2726448,-16619,54773,NA
"YM23qRcZNthgzHkJ",55,93,"Kill","Execution","Log w/ wipe(s)",252.600006103516,"LV",1,51.047,17060765,-17073,54533,NA
"YM23qRcZNthgzHkJ",55,93,"Kill","Execution","Log w/ wipe(s)",252.600006103516,"SoL",2,90.116,1633238,-16857,54813,NA
"K1TVrAPphCXH8a6W",10,79,"Wipe","Execution","Log w/ wipe(s)",252.800003051758,"SoL",1,45.01,19159349,-17261,54680,NA
"K1TVrAPphCXH8a6W",11,109,"Wipe","Execution","Log w/ wipe(s)",252.720001220703,"SoD",1,45.001,19022318,-17043,53988,NA
"K1TVrAPphCXH8a6W",11,109,"Wipe","Execution","Log w/ wipe(s)",252.720001220703,"SoL",2,90.02,4406355,-16832,54363,NA
"K1TVrAPphCXH8a6W",12,71,"Wipe","Execution","Log w/ wipe(s)",252.839996337891,"SoL",1,45.035,20013266,-14646,52892,NA
"K1TVrAPphCXH8a6W",13,75,"Wipe","Execution","Log w/ wipe(s)",252.839996337891,"SoL",1,45.02,18506927,-17198,54522,NA
"K1TVrAPphCXH8a6W",14,69,"Wipe","Execution","Log w/ wipe(s)",252.839996337891,"LV",1,51.007,16683962,-17128,54270,NA
"K1TVrAPphCXH8a6W",15,85,"Wipe","Execution","Log w/ wipe(s)",252.800003051758,"SoD",1,45.054,18503288,-17060,54047,NA
"K1TVrAPphCXH8a6W",16,97,"Kill","Execution","Log w/ wipe(s)",252.800003051758,"LV",1,51.092,16238501,-17211,54491,NA
"K1TVrAPphCXH8a6W",16,97,"Kill","Execution","Log w/ wipe(s)",252.800003051758,"SoD",2,90.051,1384335,-16787,54860,NA
"K1TVrAPphCXH8a6W",40,86,"Kill","Execution","Log w/ wipe(s)",254.440002441406,"LV",1,51.007,14867035,-17237,54826,NA
"rbPnvcZdzphA87xa",13,71,"Wipe","Execution","Log w/ wipe(s)",252.440002441406,"LV",1,51.062,18761196,-16939,54499,NA
"rbPnvcZdzphA87xa",14,80,"Wipe","Execution","Log w/ wipe(s)",252.440002441406,"LV",1,51.012,16810919,-17072,58425,NA
"rbPnvcZdzphA87xa",15,71,"Wipe","Execution","Log w/ wipe(s)",252.440002441406,"SoD",1,44.98,19089766,-17391,58415,NA
"rbPnvcZdzphA87xa",16,113,"Wipe","Execution","Log w/ wipe(s)",252.440002441406,"SoD",1,45.068,18993940,-17156,53966,NA
